Gene_Symbol	Upregulated
DBI	Normal
DCAF13	Tumor
DCAF7	Tumor
DCBLD1	Tumor
DCBLD2	Tumor
DCK	Tumor
DCLRE1A	Tumor
DCN	Normal
DCP1A	Tumor
DCST2	Normal
DCTPP1	Tumor
DDAH1	Tumor
DDC	Tumor
DDHD1	Tumor
DDIAS	Tumor
DDIT4	Normal
DDX18	Tumor
DDX21	Tumor
DDX3Y	Normal
DDX60	Tumor
DDX60L	Tumor
DEFB1	Normal
DEGS2	Normal
DEK	Tumor
DENND1A	Tumor
DENND2C	Normal
DENND4A	Tumor
DENND5B	Tumor
DEPDC1	Tumor
DEPDC1B	Tumor
DERL3	Tumor
DES	Normal
DESI2	Tumor
DGKA	Normal
DGKZ	Tumor
DHFR	Tumor
DHFRP1	Tumor
DHRS1	Normal
DHRS4-AS1	Tumor
DHRS9	Normal
DIAPH3	Tumor
DIEXF	Tumor
DIO2	Normal
DIO3OS	Normal
DKK1	Tumor
DKK4	Normal
DLEU1_1	Normal
DLEU1_2	Tumor
DLEU2	Tumor
DLG2	Normal
DLGAP1-AS1	Tumor
DLGAP1-AS2	Tumor
DLGAP4	Tumor
DLGAP5	Tumor
DLK2	Normal
DLL1	Normal
DMBT1	Tumor
DMKN	Normal
DMPK	Normal
DNA2	Tumor
DNAAF5	Tumor
DNAJC10	Tumor
DNAJC2	Tumor
DNAJC22	Tumor
DNAJC3	Tumor
DNASE1L3	Normal
DNASE2	Tumor
DNMT3B	Tumor
DNTTIP1	Tumor
DOCK5	Tumor
DOCK7	Tumor
DOCK9-AS2	Normal
DPCR1	Normal
DPP4	Tumor
DPT	Normal
DPY19L1	Tumor
DPY19L4	Tumor
DPYSL2	Tumor
DRAM1	Tumor
DSC2	Normal
DSCC1	Tumor
DSG1	Normal
DSG1-AS1	Normal
DSG2	Tumor
DSG3	Normal
DTL	Tumor
DTNA	Normal
DTX3L	Tumor
DTX4	Tumor
DUOX1	Normal
DUOXA1	Normal
DUSP13	Normal
DUSP18	Tumor
DUSP22	Normal
DUSP4	Tumor
DUSP5	Normal
DUSP6	Tumor
DUSP8	Tumor
DUXAP8	Tumor
DUXAP9	Tumor
DVL3	Tumor
DYNAP	Normal
DYNLRB1	Tumor
DYRK2	Tumor
DYRK3	Tumor
E2F1	Tumor
E2F7	Tumor
ECE1	Tumor
ECE2	Tumor
ECHDC2	Normal
ECHDC3	Normal
ECM1	Normal
ECT2	Tumor
EDEM3	Tumor
EDIL3	Tumor
EDN2	Normal
EDN3	Normal
EFHD1	Normal
EFHD2	Tumor
EFNB1	Tumor
EFNB2	Tumor
EFR3A	Tumor
EFS	Normal
EGFL8	Normal
EGR2	Tumor
EGR3	Tumor
EHD3	Normal
EHF	Normal
EHHADH	Tumor
EIF1AY	Normal
EIF2AK1	Tumor
EIF2AK2	Tumor
EIF2AK4	Tumor
EIF5A2	Tumor
ELF4	Tumor
ELFN1-AS1	Tumor
ELK4	Tumor
ELL2	Normal
ELMO1	Tumor
ELN	Normal
ELOVL4	Normal
ELOVL7	Tumor
EMB	Tumor
EMC1	Tumor
EME2	Normal
EMILIN2	Tumor
EML3	Normal
EML4	Tumor
EMP1	Normal
ENAH	Tumor
ENC1	Tumor
ENDOU	Normal
ENPEP	Tumor
ENPP4	Tumor
FUCA2	Tumor
LAP3	Tumor
MAD1L1	Tumor
LASP1	Tumor
TMEM176A	Tumor
RBM5	Normal
SLC7A2	Normal
RBM6	Normal
RECQL	Tumor
HSPB6	Normal
PDK4	Normal
ST7	Tumor
PRSS22	Normal
HOXA11	Tumor
WDR54	Tumor
KMT2E	Tumor
RHBDD2	Tumor
ITGA3	Tumor
TMEM132A	Tumor
TNFRSF12A	Tumor
ETV1	Tumor
TTC22	Normal
USH1C	Tumor
SCIN	Normal
PRSS21	Tumor
PROM1	Tumor
GAS7	Normal
RHBDF1	Normal
LUC7L	Normal
TFAP2B	Normal
IL32	Tumor
RHOBTB2	Tumor
SEC62	Tumor
ETV7	Tumor
STARD3NL	Tumor
NCAPD2	Tumor
IFFO1	Normal
STAB1	Normal
PRSS3	Normal
HIVEP2	Tumor
PIK3C2A	Tumor
PLAUR	Tumor
MAP4K3	Tumor
TYROBP	Tumor
MBTPS2	Tumor
KDM5D	Normal
GPRC5A	Tumor
POLA2	Tumor
ZC3H3	Tumor
RGPD5	Tumor
RUFY3	Normal
VSIG2	Normal
SYT13	Tumor
ZFP64	Tumor
RUNX3	Tumor
SERPINB1	Normal
SPAST	Tumor
FHL1	Normal
SLC45A4	Tumor
RNH1	Normal
GCLM	Tumor
RRAGD	Normal
TYMP	Tumor
TOMM34	Tumor
SH2D2A	Tumor
POU2F2	Tumor
SLC39A9	Tumor
HMGB3	Tumor
NUP160	Tumor
IKZF2	Normal
FUT8	Tumor
UBA6	Tumor
MYOC	Normal
ZZZ3	Tumor
USP2	Normal
HOXC8	Tumor
TRIO	Tumor
VCAN	Tumor
MSR1	Tumor
RAI14	Tumor
RTN4R	Tumor
TNC	Tumor
FAM65C	Normal
JADE2	Tumor
ZIC2	Tumor
LCP2	Tumor
HSPA5	Tumor
HDAC9	Tumor
RRM2B	Tumor
RSF1	Tumor
FAM120A	Tumor
R3HDM1	Tumor
KITLG	Tumor
TNFRSF9	Tumor
LTBP1	Tumor
RCN1	Tumor
NEDD4L	Tumor
FOXP3	Tumor
HEXB	Tumor
NFE2L3	Tumor
LIMA1	Tumor
MAPK9	Tumor
RAD51	Tumor
PIK3CB	Tumor
MPHOSPH9	Tumor
FNIP2	Tumor
MSMO1	Normal
LAMA3	Tumor
KCNQ1	Tumor
ENTPD2	Tumor
LY75	Tumor
FOXC1	Tumor
GALC	Tumor
ZNF280C	Tumor
IL17RB	Tumor
SERPINB3	Normal
SOAT1	Tumor
PKP2	Tumor
PITHD1	Normal
USP13	Tumor
LAMC2	Tumor
NDC1	Tumor
PARP12	Tumor
MXD1	Normal
GNA15	Normal
QSER1	Tumor
ZNF275	Tumor
WISP2	Normal
TAF2	Tumor
SLC12A2	Tumor
SNX24	Normal
EYA2	Normal
FAR2	Tumor
UHRF1BP1	Tumor
IPO5	Tumor
WDR3	Tumor
TRAM2	Tumor
NTN1	Normal
MCM10	Tumor
PDIA5	Tumor
TLE2	Normal
TBC1D1	Tumor
MTHFD2	Tumor
SLC9A7	Tumor
PDE4A	Tumor
SPI1	Tumor
MSANTD3	Tumor
MTFR1	Tumor
SP100	Tumor
TRAM1	Tumor
EVI5	Tumor
TRO	Normal
SYT1	Tumor
PDZD4	Normal
PDK3	Tumor
FGFR3	Normal
IFI35	Tumor
PLEKHH3	Normal
PRR11	Tumor
POLR1A	Tumor
KIF2A	Tumor
RASGRP2	Normal
PITX1	Normal
NUCKS1	Tumor
VPS35	Tumor
KCNAB2	Tumor
GAL	Tumor
PLA2G10	Tumor
HES2	Normal
NEDD4	Tumor
LRP6	Tumor
PFN2	Tumor
SLC44A1	Tumor
EXOC5	Tumor
ST6GALNAC1	Normal
PABPC1	Tumor
TCOF1	Tumor
MAP4K4	Tumor
RPL31	Normal
SNX13	Tumor
SEL1L	Tumor
TRIP13	Tumor
TCF3	Tumor
HLTF	Tumor
LIMS2	Normal
SPEG	Normal
LNX1	Normal
TFRC	Tumor
RHOBTB1	Tumor
SMC1A	Tumor
HMMR	Tumor
NFATC3	Tumor
NDE1	Tumor
PVR	Tumor
SCARB1	Tumor
MCM2	Tumor
PDE8A	Tumor
KDM5A	Tumor
PTGS2	Tumor
IGF2BP2	Tumor
MAP3K13	Tumor
ST6GAL1	Tumor
GLI2	Tumor
PPP2R2C	Normal
MGLL	Normal
HACD3	Tumor
TACR2	Normal
GTSE1	Tumor
SEMA3C	Tumor
SLC25A40	Tumor
VPS9D1	Normal
FNDC3B	Tumor
FSCN1	Tumor
WDR62	Tumor
SEC31B	Normal
MCM6	Tumor
RBMS2	Tumor
RGS11	Normal
SPAG5	Tumor
TPD52	Tumor
PAG1	Tumor
GPC4	Tumor
MBNL3	Tumor
TM9SF3	Tumor
NFKB2	Tumor
UBE2T	Tumor
GTF3C1	Normal
SNRPA	Tumor
GPR137B	Tumor
FBLN1	Normal
LAMP3	Tumor
FAP	Tumor
SYNJ2	Tumor
GNB1	Tumor
HOXA9	Tumor
ITM2A	Normal
FKBP7	Tumor
RAPGEF3	Normal
SENP1	Tumor
LRRC16A	Tumor
MOXD1	Normal
PTPRH	Tumor
RIF1	Tumor
SRCAP	Tumor
HSP90AA1	Tumor
